"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"9121","556161","556161","Oranmore","Oranmore (Opp Oran Town Centre)","Órán Mór",""
"9122","556171","556171","Annaduff Church","Annaduff Church (Opp church)","Spl Eanach Duibh",""
"9123","556181","556181","Ballinamuck","Ballinamuck (McKennas Gala)","Béal Átha na Muc",""
"9124","556191","556191","The Border Collie","Tourlestrane (Opp Border Collie)","",""
"9125","556201","556201","Dromcashel","Dromcashel (Lay-by)","Droim Caisil",""
"9126","556211","556211","Castlebaldwin","Castlebaldwin (Opp Supermac)","Béal Átha na gCarr.",""
"9127","556221","556221","Castlebaldwin","Castlebaldwin (Supermac)","Béal Átha na gCarr.",""
"9128","556231","556231","Aclare","Aclare (McGuiness High Road)","",""
"9129","556261","556261","Carrick-on-Shannon","Carrick-on-Shannon(Opp Landmark Hotel)","Cora Droma Rúisc",""
"9130","556271","556271","Collooney","Collooney (Opposite Quigley's)","Cúil Mhuine",""
"9131","556281","556281","Newtownforbes","Newtownforbes (Little Saigon)","An Lios Breac",""
"9132","556291","556291","Castlebaldwin","Castlebaldwin (Opp Morrisons Grocery)","Béal Átha na gCarr.",""
"9133","556301","556301","Drumfin","Drumfin (Opp Morrison Memorial)","Droim Fionn",""
"9134","556311","556311","Annaduff Church","Annaduff Church (Church)","Spl Eanach Duibh",""
"9135","556321","556321","Dromod","Dromod (Opposite Notleys)","Dromad",""
"9136","556331","556331","Rooskey","Rooskey (Reynolds)","An Riasc",""
"9137","556341","556341","Dromod","Dromod (Opp Railway Station)","Dromad",""
"9138","556351","556351","Dromod","Dromod (Railway Station Entrance)","Dromad",""
"9139","556401","556401","Community Centre","Cloonacol (Opp Community Ctr)","",""
"9140","556411","556411","Henrys Cross","Henrys Cross (Northbound)","",""
"9141","556421","556421","Carrowneadon Cross","Carrowneadon Cross (Northbound)","",""
"9142","556431","556431","Rockfield (Church)","Rockfield (Church)","",""
"9143","556441","556441","Coolaney PO","Coolaney (Radharc Na hAbhann)","OP Chúil Áine",""
"9144","556451","556451","Ox Mountains Cross","Ox Mountains Cross (North)","X Shliabh Gamh",""
"9145","556471","556471","Mountain Inn","Rockfield (Mountain Inn)","",""
"9146","556481","556481","Community Centre","Cloonacol (Community Ctr)","",""
"9147","556491","556491","Coolaney","Coolaney (Opp Radharc Na hAbhann)","",""
"9148","556611","556611","Henrys Cross","Henrys Cross (Southbound)","",""
"9149","556631","556631","Carrowneadon Cross","Carrowneadon Cross (Southbound)","",""
"9150","556641","556641","Ox Mountains Cross","Ox Mountains Cross (South)","X Shliabh Gamh",""
"9151","556661","556661","Mullarkeys Cross","Mullarkeys Cross (Northbound)","",""
"9152","556671","556671","Mullarkeys Cross","Mullarkeys Cross (Southbound)","",""
"9153","557001","557001","Kiloe Chapel","Cullyfad (Opp Church)","Eaglais Chill Eo",""
"9154","557021","557021","Rossan","Rossan (Church)","An Rosán",""
"9155","557071","557071","Rossan","Rossan (Opp Church)","An Rosán",""
"9156","557111","557111","Dunowla Cross","Dunowla Cross (Eastbound)","Crosaire Dhún Abhla",""
"9157","557121","557121","Kilkenny","Kilkenny (Ormonde Rd Jctn Patrick St)","Cill Chainnigh",""
"9158","557131","557131","Quigabar","Quigabar (Opp School)","",""
"9159","557141","557141","Finod Bridge","Finod Bridge (Eastbound)","",""
"9160","557151","557151","Ballina","Ballina (Culleens Southbound)","Béal an Átha",""
"9161","557201","557201","Fenagh","Fenagh (The Abbey Bar)","Fionnmhach",""
"9162","557211","557211","Corlough Cross","Corlough Cross (Northbound)","Crosaire Chorlaí",""
"9163","557221","557221","Fenagh","Fenagh (Quinns Pub)","Fionnmhach",""
"9164","557231","557231","Corlough Cross","Corlough Cross (Southbound)","Crosaire Chorlaí",""
"9165","557241","557241","Swanlinbar","Swanlinbar (Opp Garda Station)","An Muileann Iarainn",""
"9166","557251","557251","Killashee","Killashee (Opp Magans)","Cill Uasaille",""
"9167","557271","557271","Kilashee","Killashee (Magans)","Na Cealla",""
"9168","557291","557291","Castlecoote","Castlecoote","",""
"9169","557301","557301","Killashandra","Killashandra (Post Office Main St)","Cill na Seanrátha",""
"9170","557311","557311","Arva","Arva (Market Square)","Ármhach",""
"9171","557331","557331","Losset","Losset (Creamery)","An Losaid",""
"9172","557351","557351","Ballinagh","Ballinagh (Cronins Pub)","Ballinagh",""
"9173","557361","557361","Tarmon","Tarmon (Church)","An Tearmann",""
"9174","557371","557371","Doogary","Doogary (Skealton Cross East)","An Dúgharraí",""
"9175","557381","557381","Dromahair Cross","Dromahair Cross (Eastbound)","X Dhroim Dhá Thiar",""
"9176","557391","557391","Tarmon","Tarmon (Opp Church)","An Tearmann",""
"9177","557411","557411","Dromahair Cross","Dromahair Cross (Westbound)","X Dhroim Dhá Thiar",""
"9178","557421","557421","Doogary","Doogary (Skealton Cross West)","An Dúgharraí",""
"9179","557451","557451","Ardlougher","Ardlougher (Westbound)","Ard Luachra",""
"9180","557461","557461","Killashandra","Killashandra (Opp Post Office)","Cill na Seanrátha",""
"9181","557471","557471","Arva","Arva (JW Tavern Main St)","Ármhach",""
"9182","557481","557481","Losset","Losset (Opp Creamery)","An Losaid",""
"9183","557621","557621","Lissadell 1st Gate","Lissadell (First Gate)","Lios an Daill",""
"9184","557631","557631","Lissadell Barracks","Lissadell (Barracks)","Lios an Daill",""
"9185","557641","557641","Lissadell 3rd Gate","Lissadell (Third Gate)","Lios an Daill",""
"9186","557681","557681","Garda Station","Pearse Road (Garda Station)","Br an Phiarsaigh",""
"9187","557701","557701","Athlone Golden Isle","Golden Island (Shopping Centre)","Baile Átha Luain",""
"9188","557711","557711","Glasson","Glasson","Glasán",""
"9189","557731","557731","Keenagh","Keenagh","Caonach",""
"9190","557741","557741","Glasson","Glasson (Grogans Bar)","Glasán",""
"9191","557751","557751","Keenagh","Keenagh (Southbound)","Caonach",""
"9192","557801","557801","Leitrim Village","Leitrim Village (Post Office)","Sráidbh. Liatroma",""
"9193","557811","557811","Carrick-on-Shannon","Carrick-on-Shannon (Coffee Shop)","Cora Droma Rúisc",""
"9194","557821","557821","Jamestown","Jamestown (Church)","Baile Shéamais",""
"9195","557831","557831","Drumsna","Drumsna (Opp Taylors)","Droim ar Snámh",""
"9196","557841","557841","Drumsna","Drumsna (Taylors)","Droim ar Snámh",""
